preyGroup,0
Clupeidae,0.21820924218914936
Gadidae,0.15051021306177698
Ammodytidae,0.11700697840412867
Sprattus sprattus,0.0861330533122305
Ammodytes marinus,0.07567370622216264
Merlangius merlangus,0.044665575204291375
Gaidropsarus,0.04237232613664305
Other/rare prey,0.04099401337967829
Actinopterygii,0.027167202712591185
Crustacea,0.022032416146472143
other,0.019221548831619174
Gobiidae,0.01699546801046377
Polychaeta,0.014961201276167256
Pollachius virens,0.011861765538663957
Lotidae,0.011473292225371873
Trisopterus,0.010818494654945129
Clupea harengus,0.009006838779942595
Trisopterus esmarkii,0.008469142946345386
Labridae,0.006905009593004019
Teuthida,0.006871491045938371
Cephalopoda,0.0065242364348365965
Scomber scombrus,0.00614973912270523
Pleuronectidae,0.005364359683704522
Gobius,0.0052010147228138594
Callionymidae,0.005110476207141388
Melanogrammus aeglefinus,0.003255633445878756
Syngnathidae,0.003125552976754875
Pholis gunnellus,0.002921309337693286
Cottidae,0.0027441903086421666
Hyperoplus lanceolatus,0.002668361136610125
Mollusca,0.002138274173220037
Gonatus steenstrupi,0.002027203612240988
Zoarces viviparus,0.0019485974158590523
Gadus morhua,0.001808903763284224
Trisopterus minutus,0.0015336014433500493
Micromesistius poutassou,0.0015095104591177435
Pleuronectiformes,0.0014267210492033343
Pholidae,0.0011902783896761248
Entelurus aequoreus,0.0011534282163265014
Hyperia galba,0.0007352306680804823
Maurolicus muelleri,0.00011439776127478957
