preyGroup,0
Ammodytes marinus,0.15103765168981625
Ammodytidae,0.12025988291259071
Clupeidae,0.11073657469555337
Gadidae,0.10197781665046153
Crustacea,0.04786365819131999
Gaidropsarus,0.04727746499772443
Callionymidae,0.04145944826092432
Sprattus sprattus,0.037697887947850325
Merlangius merlangus,0.03559793404519455
Pleuronectidae,0.035024549432623515
Lotidae,0.03345728102734096
Trisopterus,0.027258231950871216
Actinopterygii,0.027119840269014806
Gobiidae,0.026050138840235156
Other/rare prey,0.025994926931855712
other,0.02526593835485423
Labridae,0.0164704199395657
Pholis gunnellus,0.011835430632274104
Polychaeta,0.011263619172022853
Cottidae,0.010417281914618146
Syngnathidae,0.00930559911196116
Clupea harengus,0.008808932353782425
Pollachius virens,0.005769293975420718
Zoarces viviparus,0.005500426841607572
Gadus morhua,0.0051677980681279195
Pholidae,0.0034423866678237364
Hyperoplus lanceolatus,0.0030530596068644366
Trisopterus minutus,0.002912772364902694
Mollusca,0.0026857877397520316
Pleuronectiformes,0.0026014212697361913
Entelurus aequoreus,0.0021263505963854132
Teuthida,0.0014653000339389648
Cephalopoda,0.0011579375622773947
Melanogrammus aeglefinus,0.0010097298669806234
Maurolicus muelleri,0.0003831763260375201
Gobius,0.00027375808117214
Micromesistius poutassou,0.0002702916765172093
Gonatus steenstrupi,0.0
Hyperia galba,0.0
Scomber scombrus,0.0
Trisopterus esmarkii,0.0
